note_id,client_id,note_text,note_date,linked_transaction_id,linked_transactions
N0401,CL000005,Client requested confirmation of incoming wire from Elite Wealth Capital for approximately CHF 8.5k. Funds credited without issues.,2025-02-12,TR00001003,['TR00001003']
N0402,CL000005,Telephone instruction received for outgoing cash withdrawal of approximately CHF 6.7k. Client authenticated via dual control and execution confirmed.,2025-02-06,TR00001004,['TR00001004']
N0403,CL000005,Confirmed receipt of incoming wire from Prime Asset Limited amounting to CHF 6.7k. Client satisfied with booking.,2025-02-06,TR00001005,['TR00001005']
N0404,CL000005,Client reviewed two cash credits received on the same day totalling approximately CHF 15.9k. No concerns raised during follow-up call.,2025-02-06,TR00001006|TR00001008,"['TR00001006', 'TR00001008']"
N0405,CL000005,Processing outgoing wire per client instruction. Counterparty: Unknown. Amount: CHF 6.8k. Settlement 12 Feb.,2025-02-12,TR00001007,['TR00001007']
N0406,CL000005,Confirmed incoming wire from Beta Group for CHF 9.2k. Source of funds reviewed and documented.,2025-02-06,TR00001009,['TR00001009']
N0407,CL000005,Batch payment instruction received: two outgoing payments totalling approximately CHF 17.3k. Client authorized same-day settlement.,2025-02-08,TR00001010|TR00001013,"['TR00001010', 'TR00001013']"
N0408,CL000005,Detailed review of incoming payment from Omega Holdings. Amount: approximately CHF 6.9k. Client requested written confirmation via secure message.,2025-02-11,TR00001011,['TR00001011']
N0409,CL000005,Cash credit of CHF 6.4k booked successfully. No follow-up required.,2025-02-07,TR00001012,['TR00001012']
N0410,CL000005,Client authorized outgoing wire to International Trading for approximately CHF 8.7k. Execution completed same day.,2025-02-08,TR00001015,['TR00001015']
N0411,CL000005,Received standing instruction for cash credit from International Trading. Amount: CHF 5.1k. Processed per mandate.,2025-02-10,TR00001016,['TR00001016']
N0412,CL000005,Confirmed incoming wire from Elite Trading for CHF 1.1k. Booking confirmed.,2024-10-15,TR00001017,['TR00001017']
N0413,CL000005,Follow-up on outgoing USD wire. Client verified the USD 980 transfer and provided final authorization.,2024-10-08,TR00001018,['TR00001018']
N0414,CL000005,Client discussed two small outgoing wires during October totalling approximately CHF 901. Routine operational activity.,2024-10-25,TR00001019|TR00001020,"['TR00001019', 'TR00001020']"
N0415,CL000005,Incoming GBP wire from Prime GmbH confirmed. Client requested FX rate explanation. Amount GBP 1.8k.,2024-10-06,TR00001021,['TR00001021']
N0417,CL000005,Confirmed incoming CAD wire from Alpha Trade Group amounting to approximately CHF 8.6k. No further action required.,2024-10-09,TR00001023,['TR00001023']
N0418,CL000005,Client reviewed incoming cash credit of EUR 2.5k. Booking confirmed.,2024-10-29,TR00001024,['TR00001024']
N0419,CL000005,Batch review of three incoming wires received mid-October totalling CHF 4.0k. All entries reconciled successfully.,2024-10-27,TR00001025|TR00001026|TR00001027,"['TR00001025', 'TR00001026', 'TR00001027']"
N0420,CL000005,Client meeting notes: Discussed outgoing payment to Prime Trade Capital. Amount: CHF 1.6k. Counterparty approved by compliance. Processing timeline confirmed.,2024-10-13,TR00001028,['TR00001028']
N0422,CL000005,Confirmed cheque debit of CHF 1.5k. Documentation complete.,2024-11-02,TR00001035,['TR00001035']
N0423,CL000005,Incoming wire from United Capital for EUR 12.1k confirmed. Client requested settlement confirmation.,2024-12-03,TR00001046,['TR00001046']
N0424,CL000005,Client reviewed security credit from Alpha Trading amounting to CHF 18.6k. Portfolio impact discussed.,2024-11-30,TR00001047,['TR00001047']
N0425,CL000005,Outgoing wire to Prime Asset Limited for EUR 21.6k executed following client authorization.,2024-12-06,TR00001066,['TR00001066']
N0427,CL000005,Confirmed incoming wire from Elite Capital for EUR 2.8k. Client satisfied.,2024-12-19,TR00001065,['TR00001065']
N0428,CL000005,Client discussed two incoming credits on the same date totalling CHF 1.0k. No follow-up required.,2024-12-25,TR00001067|TR00001068,"['TR00001067', 'TR00001068']"
N0429,CL000005,Confirmed incoming wire from Premier Limited for EUR 1.4k. Booked successfully.,2025-01-01,TR00001075,['TR00001075']
N0430,CL000005,Follow-up on outgoing wire to Premier Corp. Client verified the CHF 2.0k transfer and provided final authorization.,2025-01-14,TR00001098,['TR00001098']
N0431,CL000005,Client confirmed incoming security credit from Global Financial AG amounting to EUR 4.1k.,2025-01-30,TR00001090,['TR00001090']
N0433,CL000005,Batch payment instruction received: two March wires totalling EUR 18.9k. Client confirmed source of funds.,2025-03-25,TR00001129|TR00001138,"['TR00001129', 'TR00001138']"
N0434,CL000005,Incoming wire from Beta Financial Corp for CHF 12.1k reviewed and confirmed.,2025-04-13,TR00001154,['TR00001154']
