note_id,client_id,note_text,note_date,linked_transaction_id
N0001,CL000001,Client requested status update on the recent incoming payment from Omega Capital. Amount CHF 10.4k processed successfully.,2025-07-12,TR00000004
N0002,CL000001,Long-term asset allocation review. Client interested in increasing alternatives exposure. Exploring private equity opportunities.,2025-03-08,
N0003,CL000001,Client requested confirmation on an incoming payment of approximately CHF 8.0k from Omega Financial GmbH. Everything processed correctly.,2025-05-15,TR00000179
N0004,CL000001,Client inquiry regarding an incoming transfer. Amount CHF 20.1k from Elite Asset GmbH. Status confirmed as completed.,2025-01-20,TR00000084
N0005,CL000001,Client raised concerns about geopolitical risks. Reviewed portfolio stress tests. Comfortable with current diversification.,2025-04-07,
N0006,CL000001,Annual relationship review scheduled for next month. Client requested detailed fee breakdown and performance attribution. Preparing materials.,2025-09-23,
N0007,CL000001,Annual regulatory reporting completed. Client copy sent via secure delivery. No questions or concerns raised.,2025-07-12,
N0008,CL000001,Estate planning consultation. Client working with legal counsel on trust structure. May impact account setup in 6-8 months.,2024-10-21,
N0009,CL000001,Long-term asset allocation review. Client interested in increasing alternatives exposure. Exploring private equity opportunities.,2024-11-11,
N0010,CL000001,Discussed upcoming incoming payment from Premier Commerce Group for approximately CHF 167. Client confirmed details and requested execution on 28 Jan.,2025-01-27,TR00000101
N0011,CL000001,Client traveling to Asia for 3 weeks. Updated contact preferences and emergency contacts. All communication via secure email only.,2025-06-25,
N0012,CL000001,Estate planning consultation. Client working with legal counsel on trust structure. May impact account setup in 6-8 months.,2025-05-30,
N0013,CL000001,Telephone instruction received for approximately CHF 1.7k incoming payment. Beneficiary: Beta Trade Limited. Client authenticated via dual control. Executing 17 Sep.,2025-09-19,TR00000248
N0014,CL000001,Follow-up on outgoing payment to Beta Wealth Trading. Client verified the approximately CHF 3.0k transfer and provided final authorization.,2025-02-21,TR00000113
N0015,CL000001,Annual relationship review scheduled for next month. Client requested detailed fee breakdown and performance attribution. Preparing materials.,2025-07-03,
N0016,CL000001,Client called regarding general account access issues. Resolved MFA setup problem. No transactions discussed.,2025-08-04,
N0017,CL000001,Discussed upcoming incoming payment from Beta Investments for approximately CHF 9.2k. Client confirmed details and requested execution on 12 Jul.,2025-07-12,TR00000005
N0018,CL000001,Follow-up call regarding an incoming payment of CHF 10.2k from Omega Group. Client satisfied with execution.,2024-12-15,TR00000058
N0019,CL000001,Annual KYC refresh completed. Updated employment details and income sources. No material changes to risk assessment.,2025-04-23,
