note_id,client_id,note_text,note_date,linked_transaction_id
N0200,CL000003,Client requested overview of recent January account activity. No immediate concerns raised.,2025-01-18,
N0201,CL000003,Discussed upcoming outgoing wire expected late January. Client confirmed beneficiary details and purpose.,2025-01-20,TR00000530
N0202,CL000003,Confirmed receipt of incoming CHF transfer from Prime Holdings. Routine confirmation provided.,2025-01-20,TR00000527
N0203,CL000003,Client notified bank of planned cash withdrawals over several days. Purpose explained and acknowledged.,2025-01-21,
N0204,CL000003,Reviewed multiple mid-January account movements. Client comfortable with balances and liquidity.,2025-01-22,
N0205,CL000003,Discussed incoming wire from Elite Partners. Client confirmed commercial background.,2025-01-21,TR00000532
N0206,CL000003,Follow-up on outgoing wire to Prime Group. Client verified amount and execution timing.,2025-01-19,TR00000536
N0207,CL000003,Client raised question regarding recent debit related to Global GmbH. Clarified booking and charges.,2025-01-19,TR00000538
N0208,CL000003,Confirmed receipt of incoming wire from United AG. Client satisfied with processing.,2025-01-23,TR00000540
N0209,CL000003,General portfolio discussion. Client expressed preference to keep conservative allocation in Q1.,2025-01-25,
N0210,CL000003,Client contacted bank regarding older USD credit from First Group. Confirmed booking.,2024-10-30,TR00000542
N0211,CL000003,Quarterly portfolio review completed. Performance and positioning discussed. No changes agreed.,2024-10-31,
N0212,CL000003,Client requested clarification on a small debit related to Elite Wealth Trading. Explained and closed.,2024-10-14,TR00000544
N0213,CL000003,Confirmed incoming GBP wire from Beta Partners. Client acknowledged receipt.,2024-10-26,TR00000545
N0214,CL000003,Reviewed security-related debit to International Holdings. Client confirmed transaction intent.,2024-10-29,TR00000546
N0215,CL000003,Client informed bank of expected small international credits in October. No action required.,2024-10-15,
N0216,CL000003,Follow-up on incoming wire from Elite GmbH. Client satisfied with processing timeline.,2024-10-17,TR00000547
N0217,CL000003,Discussed multiple small October transactions. Client had no concerns.,2024-10-31,
N0218,CL000003,Confirmed debit related to Prime Holdings. Client acknowledged charges and value date.,2024-10-31,TR00000550
N0219,CL000003,Annual KYC refresh completed. No material changes to profile or risk assessment.,2024-11-05,
