"note_id","client_id","note_text","note_date","linked_transaction_id"
"N0083","CL000002","Client requested overview of recent account activity ahead of January travel. No immediate concerns raised.","2025-01-05",""
"N0084","CL000002","Discussed large incoming transfer of approximately CHF 45.4k from Elite Limited in CNY. Client confirmed source of funds and commercial background.","2025-01-09","TR00000260"
"N0085","CL000002","Reviewed incoming EUR payments from European counterparties totalling approximately CHF 65.5k expected mid-January. Client comfortable with timing.","2025-01-10","TR00000261|TR00000262"
"N0086","CL000002","Confirmed receipt of CHF 8.9k credit from Global AG. Routine operational confirmation.","2025-01-09","TR00000263"
"N0087","CL000002","Estate planning consultation. Client working with external advisors on succession structure. May impact holdings in Q2.","2025-01-08",""
"N0088","CL000002","Telephone instruction received for approximately CHF 24.7k incoming GBP transfer. Beneficiary: Alpha Capital. Client authenticated via dual control.","2025-01-11","TR00000264"
"N0089","CL000002","Client submitted transfer request: Beta Trade GmbH, approximately CHF 19.3k outgoing in CNY. Compliance approved, executing 14 Jan.","2025-01-14","TR00000265"
"N0090","CL000002","Batch payment instruction received: two CHF debits to Elite GmbH (CHF 26.0k) and Beta GmbH (CHF 18.9k). Client authorized same-day settlement.","2025-01-13","TR00000266|TR00000267"
"N0091","CL000002","Follow-up on outgoing payment to Alpha Group. Client verified the approximately CHF 9.9k USD transfer and provided final authorization.","2025-01-13","TR00000268"
"N0092","CL000002","Client traveling to Middle East for 3 weeks. Updated contact preferences and emergency contacts. All communication via secure email only.","2025-01-14",""
"N0093","CL000002","Detailed review of outgoing payment arrangement with United Trading and Omega Group. Combined amounts approximately CHF 58.5k scheduled 15 Jan. Client requested email confirmation post-execution.","2025-01-15","TR00000269|TR00000270"
"N0094","CL000002","Client inquiry regarding outgoing EUR transfer of approximately CHF 8.2k to Beta Trade Corp. Status confirmed as completed.","2025-01-15","TR00000271"
"N0095","CL000002","Follow-up call regarding an older incoming payment of CHF 9.6k from International Partners. Client satisfied with booking.","2024-10-25","TR00000272"
"N0096","CL000002","Quarterly portfolio review completed. Client overall satisfied with performance. Discussed potential rebalancing in Q1. No immediate actions required.","2024-10-06",""
"N0097","CL000002","Received standing instruction for approximately CHF 1.8k USD security credit from Global Limited. Scheduled for 29 Oct. Client confirmed via secure message.","2024-10-29","TR00000274"
"N0098","CL000002","Annual KYC refresh completed. Updated employment details and income sources. No material changes to risk assessment.","2024-11-02",""
"N0099","CL000002","Client called regarding general account access issues. Resolved secure token problem. No transactions discussed.","2024-11-03",""
"N0100","CL000002","Confirmed details for incoming wire: CHF 3.3k from Global Commerce Limited. Client satisfied with execution timeline.","2024-10-29","TR00000276"
"N0101","CL000002","Processing incoming payment per client instruction. Counterparty: International GmbH. Amount: approximately CHF 2.8k GBP. Settlement 12 Oct.","2024-10-12","TR00000277"
"N0102","CL000002","Client discussed two incoming EUR payments from Premier AG totalling approximately CHF 6.9k. Both transactions processed successfully.","2024-10-25","TR00000278|TR00000287"
"N0103","CL000002","Discussed upcoming outgoing payment to Omega AG for approximately CHF 4.9k in JPY. Client confirmed details and FX impact reviewed.","2024-10-08","TR00000279"
"N0104","CL000002","Client requested access to enhanced online reporting platform. Arranged demo with digital banking team for next week.","2024-10-21",""
"N0105","CL000002","Long-term asset allocation review. Client interested in increasing alternatives exposure. Exploring private equity opportunities.","2024-10-17",""
"N0106","CL000002","Client requested confirmation on a security credit of approximately CHF 5.9k EUR from Omega Wealth Group. Everything processed correctly.","2024-10-31","TR00000282"
"N0107","CL000002","Succession planning discussion. Client considering gradual wealth transfer to next generation. Referred to trust and estate specialists.","2024-10-09",""
"N0108","CL000002","Discussed upcoming regulatory changes to cross-border reporting. Client acknowledged requirements. No concerns raised.","2024-10-31",""
"N0109","CL000002","Follow-up call regarding the incoming wire of approximately CHF 1.4k from Premier Financial Investments. Client confirmed all details.","2024-10-07","TR00000291"
"N0110","CL000002","Client meeting notes: Discussed outgoing payment for approximately CHF 1.1k EUR. Counterparty Omega Financial Group approved by compliance. Processing timeline confirmed.","2024-10-12","TR00000292"
"N0111","CL000002","Confirmed details for outgoing payment: CHF 4.0k to Prime Investments. Client satisfied with execution timeline.","2024-11-10","TR00000293"
"N0112","CL000002","Annual relationship review scheduled for next month. Client requested detailed fee breakdown and performance attribution. Preparing materials.","2024-11-15",""
"N0113","CL000002","Client submitted transfer request: United Corp, approximately CHF 35.7k outgoing in EUR. Compliance approved after enhanced due diligence.","2024-12-01","TR00000319"
"N0114","CL000002","Detailed review of outgoing payment arrangement with International Corp. Amount: CHF 22.7k scheduled 8 Nov. Client requested same-day confirmation.","2024-11-08","TR00000305"
"N0115","CL000002","Telephone instruction received for approximately CHF 5.9k USD incoming wire. Beneficiary: Premier Commerce AG. Client authenticated via dual control. Executing 30 Nov.","2024-11-30","TR00000306"
"N0116","CL000002","Follow-up on two small debits to Omega Limited and Prime GmbH (approximately CHF 1.3k combined). Part of portfolio adjustment.","2024-12-01","TR00000307|TR00000310"
"N0117","CL000002","Tax optimization discussion ahead of year-end. Client working with tax advisor. May see portfolio restructuring in December.","2024-12-15",""
"N0118","CL000002","Client requested status update on the incoming wire from First Corp. Amount CHF 3.4k processed successfully.","2025-03-03","TR00000361"
"N0119","CL000002","Received standing instruction for approximately CHF 26.7k incoming CHF payment from Premier Trade Group. Scheduled for 15 Feb. Client confirmed via secure message.","2025-02-15","TR00000375"
"N0120","CL000002","Confirmed details for outgoing payment: approximately CHF 27.0k USD to United Investments. Client satisfied with execution timeline and risk review completed.","2025-07-04","TR00000487"
"N0121","CL000002","Batch payment instruction reviewed: high-value security debit to Global Financial Group for approximately CHF 22.9k USD. Strategic reallocation confirmed.","2025-01-24","TR00000350"
"N0122","CL000002","Processing incoming payment per client instruction. Counterparty: Elite Asset Limited. Amount: CHF 13.7k. Settlement 22 Jan.","2025-01-22","TR00000345"
"N0123","CL000002","Client discussed two outgoing EUR payments in April totalling approximately CHF 9.8k. Confirmed execution dates and beneficiaries.","2025-04-22","TR00000420|TR00000423"
"N0124","CL000002","Follow-up on outgoing payment to United Asset Capital. Client verified the approximately CHF 21.0k EUR transfer and provided final authorization.","2025-05-13","TR00000432"
"N0125","CL000002","Client inquiry regarding an incoming USD transfer of approximately CHF 8.8k from Global Trade GmbH. Status confirmed as completed.","2025-06-01","TR00000433"
"N0126","CL000002","Client submitted transfer request: Elite GmbH, CHF 24.9k outgoing. Compliance approved, executing 26 Jul.","2025-07-26","TR00000481"
"N0127","CL000002","Detailed review of outgoing payment arrangement with Global Capital. Amount: approximately CHF 30.3k in JPY scheduled 28 Jul. Client requested email confirmation post-execution.","2025-07-28","TR00000469"
"N0128","CL000002","Telephone instruction received for CHF 13.3k USD incoming payment. Beneficiary: Premier Asset Trading. Client authenticated via dual control. Executing 9 Aug.","2025-08-09","TR00000490"
"N0129","CL000002","Follow-up call regarding an outgoing payment of approximately CHF 30.1k USD to First Limited. Client satisfied with execution.","2025-09-18","TR00000516"
"N0130","CL000002","Client signature verification for new mandate. Documents returned, currently in processing. Expected completion within 5 business days.","2025-09-30",""
"N0131","CL000002","Annual regulatory reporting completed. Client copy sent via secure delivery. No questions or concerns raised.","2025-09-30",""
"N0132","CL000002","Client raised concerns about geopolitical risks. Reviewed portfolio stress tests. Comfortable with current diversification.","2025-03-01",""
"N0133","CL000002","Discussed potential currency hedging strategy given CHF strength. Client wants to wait and monitor. Scheduled review for next quarter.","2025-04-10",""
"N0134","CL000002","Client traveling to South America for 2 weeks. Updated contact preferences and emergency contacts. All communication via secure email only.","2025-05-01",""
"N0135","CL000002","Updated beneficial owner information per client notification. Compliance review in progress. Account fully operational.","2025-06-15",""
"N0136","CL000002","Quarterly portfolio review completed. Client overall satisfied with performance. Discussed potential rebalancing in Q3. No immediate actions required.","2025-07-15",""
"N0137","CL000002","Client inquiry about sustainable investment options. Sent ESG portfolio framework document. Follow-up call scheduled.","2025-08-10",""
"N0138","CL000002","Annual relationship review scheduled for next month. Client requested detailed fee breakdown and performance attribution. Preparing materials.","2025-08-20",""
"N0139","CL000002","Discussed upcoming changes to fee structure. Client acknowledged and had no concerns. Sent follow-up email with detailed breakdown.","2025-09-30",""
"N0140","CL000002","Long-term asset allocation review. Client interested in increasing alternatives exposure. Exploring private equity opportunities.","2025-02-20",""
"N0141","CL000002","Client requested clarification on custody reporting timelines. Explained standard procedures and client acknowledged.","2025-03-18",""
"N0142","CL000002","Quarterly portfolio review completed. Client overall satisfied with performance. Discussed potential rebalancing in Q2. No immediate actions required.","2025-04-28",""
"N0143","CL000002","Client requested access to new mobile banking features. Arranged setup session with digital team.","2025-05-18",""
"N0144","CL000002","Discussed upcoming regulatory changes to reporting standards. Client acknowledged requirements. No concerns raised.","2025-06-05",""
"N0145","CL000002","Annual relationship review completed. Client satisfied with service quality and relationship management.","2025-07-05",""
"N0146","CL000002","Tax optimization discussion ahead of mid-year. Client working with tax advisor. Reviewing currency exposure.","2025-08-01",""
"N0147","CL000002","Client preparing for year-end planning meeting. Requested historical performance data for review.","2025-09-10",""
"N0148","CL000002","Follow-up call on administrative matters. Client satisfied with account operations. No immediate needs.","2025-01-20",""
"N0149","CL000002","Client signature verification for updated mandate documentation. Processing in compliance department.","2025-02-05",""
"N0150","CL000002","Discussed upcoming liquidity needs for Q2. Client comfortable with current cash position. Planning only.","2025-03-25",""
"N0151","CL000002","Long-term asset allocation review. Client interested in diversifying emerging market exposure. Reviewing options.","2025-04-15",""
"N0152","CL000002","Client called regarding secure messaging system. Resolved access issue. Account fully operational.","2025-05-05",""
"N0153","CL000002","Quarterly performance report delivered. Client acknowledged receipt and scheduled review call.","2025-06-30",""
"N0154","CL000002","General inquiry regarding portfolio valuation methods. Explained and client acknowledged understanding.","2025-07-20",""
"N0155","CL000002","Client satisfied with August performance summary. No concerns or questions raised.","2025-08-31",""
"N0156","CL000002","Preparations for annual review underway. Gathering documentation and performance attribution materials.","2025-09-15",""
"N0157","CL000002","End-of-period relationship review completed. Client comfortable with service level and overall relationship.","2025-09-30",""
